distribution,x_axis_value,mu,case,entity_id
Uniform,1,0.36850000000000005,Average,8796093023493
Uniform,2,0.6025,Worst,8796093023493
Uniform,2,0.5999999999999999,Average,8796093023493
Uniform,3,0.7350000000000001,Worst,8796093023493
Uniform,3,0.7209999999999999,Average,8796093023493
Uniform,4,0.7835000000000001,Worst,8796093023493
Uniform,4,0.7765000000000002,Average,8796093023493
Uniform,5,0.8059999999999998,Worst,8796093023493
Uniform,5,0.8210000000000001,Average,8796093023493
Uniform,6,0.8569999999999999,Worst,8796093023493
Uniform,6,0.8680000000000001,Average,8796093023493
Uniform,7,0.865,Worst,8796093023493
Uniform,7,0.861,Average,8796093023493
Uniform,8,0.8865000000000001,Worst,8796093023493
Uniform,8,0.885,Average,8796093023493
Uniform,9,0.8960000000000001,Worst,8796093023493
Uniform,9,0.897,Average,8796093023493
Uniform,10,0.9049999999999999,Worst,8796093023493
Uniform,10,0.9,Average,8796093023493
Uniform,11,0.9135000000000002,Worst,8796093023493
Uniform,11,0.9019999999999999,Average,8796093023493
Uniform,12,0.9164999999999999,Worst,8796093023493
Uniform,12,0.9220000000000003,Average,8796093023493
Uniform,13,0.932,Worst,8796093023493
Uniform,13,0.9345000000000001,Average,8796093023493
Uniform,14,0.9334999999999999,Worst,8796093023493
Uniform,14,0.9209999999999999,Average,8796093023493
Uniform,15,0.9365,Worst,8796093023493
Uniform,15,0.942,Average,8796093023493
Uniform,16,0.938,Worst,8796093023493
Uniform,16,0.9375,Average,8796093023493
Uniform,17,0.9445,Worst,8796093023493
Uniform,17,0.9404999999999999,Average,8796093023493
Uniform,18,0.9585000000000001,Worst,8796093023493
Uniform,18,0.9490000000000001,Average,8796093023493
Uniform,19,0.952,Worst,8796093023493
Uniform,19,0.9499999999999998,Average,8796093023493
Uniform,20,0.9475000000000001,Worst,8796093023493
Uniform,20,0.9569999999999999,Average,8796093023493
Uniform,21,0.9534999999999998,Worst,8796093023493
Uniform,21,0.9590000000000002,Average,8796093023493
Uniform,22,0.952,Worst,8796093023493
Uniform,22,0.9484999999999999,Average,8796093023493
Uniform,23,0.9505000000000002,Worst,8796093023493
Uniform,23,0.9560000000000001,Average,8796093023493
Uniform,24,0.9605,Worst,8796093023493
Uniform,24,0.9514999999999999,Average,8796093023493
Uniform,25,0.959,Worst,8796093023493
Uniform,25,0.962,Average,8796093023493
Uniform,26,0.968,Worst,8796093023493
Uniform,26,0.9570000000000001,Average,8796093023493
Uniform,27,0.97,Worst,8796093023493
Uniform,27,0.966,Average,8796093023493
Uniform,28,0.9704999999999998,Worst,8796093023493
Uniform,28,0.9639999999999999,Average,8796093023493
Uniform,29,0.9664999999999999,Worst,8796093023493
Uniform,29,0.9709999999999999,Average,8796093023493
Uniform,30,0.968,Worst,8796093023493
Uniform,30,0.9685,Average,8796093023493
Uniform,1,0.30250000000000005,Worst,1131
Uniform,1,0.28700000000000003,Average,1131
Uniform,2,0.591,Worst,1131
Uniform,2,0.586,Average,1131
Uniform,3,0.713,Worst,1131
Uniform,3,0.7069999999999999,Average,1131
Uniform,4,0.778,Worst,1131
Uniform,4,0.7595000000000001,Average,1131
Uniform,5,0.8084999999999999,Worst,1131
Uniform,5,0.796,Average,1131
Uniform,6,0.8460000000000001,Worst,1131
Uniform,6,0.828,Average,1131
Uniform,7,0.865,Worst,1131
Uniform,7,0.8664999999999999,Average,1131
Uniform,8,0.885,Worst,1131
Uniform,8,0.8755,Average,1131
Uniform,9,0.8934999999999998,Worst,1131
Uniform,9,0.898,Average,1131
Uniform,10,0.9095000000000001,Worst,1131
Uniform,10,0.9035000000000002,Average,1131
Uniform,11,0.9055000000000002,Worst,1131
Uniform,11,0.9040000000000001,Average,1131
Uniform,12,0.9094999999999999,Worst,1131
Uniform,12,0.9115000000000002,Average,1131
Uniform,13,0.9350000000000002,Worst,1131
Uniform,13,0.938,Average,1131
Uniform,14,0.922,Worst,1131
Uniform,14,0.9279999999999999,Average,1131
Uniform,15,0.9319999999999998,Worst,1131
Uniform,15,0.9305,Average,1131
Uniform,16,0.9375,Worst,1131
Uniform,16,0.942,Average,1131
Uniform,17,0.9345000000000001,Worst,1131
Uniform,17,0.9380000000000001,Average,1131
Uniform,18,0.9424999999999999,Worst,1131
Uniform,18,0.9380000000000001,Average,1131
Uniform,19,0.9535,Worst,1131
Uniform,19,0.9469999999999998,Average,1131
Uniform,20,0.9570000000000001,Worst,1131
Uniform,20,0.9495000000000001,Average,1131
Uniform,21,0.95,Worst,1131
Uniform,21,0.9495000000000001,Average,1131
Uniform,22,0.95,Worst,1131
Uniform,22,0.954,Average,1131
Uniform,23,0.9550000000000001,Worst,1131
Uniform,23,0.9535,Average,1131
Uniform,24,0.9584999999999999,Worst,1131
Uniform,24,0.9579999999999999,Average,1131
Uniform,25,0.9605,Worst,1131
Uniform,25,0.9629999999999999,Average,1131
Uniform,26,0.9600000000000002,Worst,1131
